Date,Enclosure,Chipmunk ID,Sex,Weight (g),Birth Year,Notes
8/11/22,SR,985113005718846,M,49,2022,ref #2; sacrificed for brain tissue samples and donated to vert museum
8/11/22,SR,985113005719176,F,52,2022,ref #1; sacrificed for brain tissue samples and donated to vert museum
8/11/22,SR,985113005718966,F,50,2022,ref #4; sacrificed for brain tissue samples and donated to vert museum
8/11/22,SR,985113005718965,M,52,2022,ref #3; sacrificed for brain tissue samples and donated to vert museum
8/11/22,SR,985113005719183,F,51,2022,ref #5; sacrificed for brain tissue samples and donated to vert museum
8/11/22,SR,985113005718998,F,48,2022,ref #6; sacrificed for brain tissue samples and donated to vert museum
9/2/22,SR,985113005718937,F,48,2022,trapped individually
9/2/22,SR,982000407070202,M,49,2020,"trapped individually; ""Scraggle"""
9/2/22,SL,985113005718861,F,69,2022,trapped individually
9/2/22,SL,985113005719062,M,65,2022,trapped individually
8/31/22,SR,985113005719276,M,49,2022,
8/31/22,SR,982000403281537,F,49.5,2020,"ref #8; ""Frank"""
8/31/22,SR,untagged female_1,F,53,2022,
8/31/22,SR,985113005718938,F,57,2022,
8/31/22,SR,982000407527129,M,55,UNK,original wild caught
8/31/22,SR,982000407527130,F,51,2021,
8/31/22,SR,985113005719030,M,57,2022,
8/31/22,SR,982000407527082,M,50,2021,
8/31/22,SR,985113005718896,F,47,2022,
8/31/22,SR,untagged female_2,F,53,2022,
8/31/22,SR,982000407527038,M,69,2020,
8/31/22,SR,982000407527183,F,49,2021,
8/31/22,SR,982000407526882,F,51.5,UNK,original wild caught; ref #9
8/31/22,SR,985113004547857,F,50.5,2021,ref #7
8/31/22,SL,985113005718862,F,61,2022,ref #10
8/31/22,SL,982000407526923,F,63,UNK,original wild caught; ref #11
8/31/22,SL,982000407527047,M,52.5,2020,ref #13
8/31/22,SL,982000407526831,M,61.5,UNK,original wild caught; ref #12
8/31/22,SR,985113005719242,F,46,2022,
8/31/22,SR,985113005718997,F,61,2022,
8/31/22,SL,985113005718999,M,68,2022,
8/31/22,SL,982000403281492,F,55,2021,
8/31/22,SL,985113005718990,M,79,2022,
8/31/22,SL,985113004547515,F,63,2022,
8/31/22,SL,985113005719072,M,65,2022,
8/31/22,SL,985113005718895,F,72,2022,
8/31/22,SL,985113005718977,F,77,2022,
8/31/22,SL,985113005718982,F,68,2022,
8/31/22,SL,985113005719085,M,71,2022,
8/31/22,SL,982000407526988,F,67,2021,
8/31/22,SL,982000407526955,F,83,2021,
8/31/22,SL,985113005718974,M,77,2022,
8/31/22,SL,985113005718993,F,75,2022,
8/31/22,SL,985113005718959,F,79,2022,
8/31/22,SL,985113005718916,M,68,2022,
8/31/22,SL,985113005718806,F,68,2022,
8/31/22,SL,985113005718985,M,69,2022,
8/31/22,SL,985113005719043,F,80,2022,
8/31/22,SL,985113005718862,F,61,2022,
8/31/22,SL,95113005718984,F,68,2022,
8/31/22,SL,985113005718853,M,76,2022,
8/31/22,SL,982000199866995,M,83,2022,
8/31/22,SL,982000199867105,F,60,2022,
8/31/22,SL,985113005718991,F,77,2022,
9/9/22,FR,985113005719262,F,58,2022,immediatetly donated to vertebrate museum for skin prep
9/9/22,FL,982000199867064,F,60,2022,
9/8/22,FR,985113005719084,M,71,2022,ref #14
9/8/22,FR,982000507457114,M,61,2020,"ref #17; ""Trouble"""
9/8/22,FR,985113005719233,M,76,2022,died naturally
9/8/22,FR,985113005719244,M,76.5,2022,ref #16
9/8/22,FR,985113005719136,M,50.3,2022,immediatetly donated to vertebrate museum for skin prep
9/8/22,FR,982000407527049,F,54,2021,
9/8/22,FR,985113005719129,F,51,2022,immediatetly donated to vertebrate museum for formalin fix
9/8/22,FR,985113005719211,M,81.9,2022,immediatetly donated to vertebrate museum for formalin fix
9/8/22,FR,982000407526796,M,49.4,2020,immediatetly donated to vertebrate museum for skin prep
9/8/22,FR,985113004547749,F,58.2,2020,
9/8/22,FR,985113005718834,F,50,2022,ref #15
9/8/22,FR,982000407070254,M,61,2021,
9/8/22,FR,985113005719114,M,76,2022,
9/8/22,FR,985113005719152,M,59,2022,
9/8/22,FR,985113005719137,F,73,2022,
9/8/22,FR,982000407526890,F,71,2022,
9/8/22,FR,985113005718913,M,66,2022,
9/8/22,FR,985113005719237,M,72.8,2022,immediatetly donated to vertebrate museum for skin prep
9/8/22,FR,982000407527048,F,96,2020,
9/8/22,FR,985113005719076,M,60,2022,immediatetly donated to vertebrate museum for formalin fix
9/8/22,FR,985113005718894,M,59,2022,
9/8/22,FR,985113005718847,M,60,2022,
9/8/22,FR,982000407526921,F,51.7,UNK,immediatetly donated to vertebrate museum for formalin fix; original wild caught
9/8/22,FR,985113005718882,M,65,2022,
9/8/22,FR,985113005718868,F,55.6,2022,immediatetly donated to vertebrate museum for formalin fix
9/8/22,FR,985113005718958,M,61,2022,
9/8/22,FR,985113005719201,F,61,2022,
9/8/22,FL,985113004547730,M,58,2021,
9/8/22,FL,982000403281547,M,53,2020,
9/8/22,FL,985113005718942,M,56,2022,
9/8/22,FL,985113005718924,F,78,2022,
9/8/22,FL,985113005718892,M,50,2022,
9/8/22,FL,982000407527043,M,55,2021,
9/8/22,FL,982000407527124,F,61,2020,
9/8/22,FL,985113005718848,M,59,2022,
9/8/22,FL,982000407527205,F,59,UNK,immediatetly donated to vertebrate museum for formalin fix; original wild caught
9/8/22,FL,985113005719104,M,50,2022,
9/8/22,FL,982000403281496,F,68,2022,
9/8/22,FL,985113005718953,F,49,2022,
9/8/22,FL,982000403281504,M,64,2021,
9/8/22,FL,982000407527017,F,58,2022,
9/8/22,FL,985113005719116,M,71,2022,
9/8/22,FL,985113005719001,M,48,2022,
9/8/22,FL,985113005719050,F,58,2022,
9/8/22,FL,985113005719027,F,54,2022,
9/8/22,FL,985113005719303,F,63,2022,
9/8/22,FL,985113004547620,M,59,2022,
9/8/22,FL,982000407527168,M,83,2022,
9/8/22,FL,982000407527001,M,65,2021,"immediatetly donated to vertebrate museum for formalin fix; ""Bond"""
9/8/22,FL,985113004547710,M,51,2021,
9/8/22,FL,985113005719079,M,48,2022,
9/8/22,FL,985113005718981,F,53,2022,
9/8/22,FL,985113005718961,M,76,2022,
9/8/22,FL,985113005718869,F,55,2022,
9/8/22,FL,985113005719223,M,81,2022,
9/8/22,FL,982000407527032,M,57,2022,
9/8/22,FL,982000403281539,M,62,2021,
9/8/22,FL,982000407527149,M,54,2021,
9/8/22,FL,985113005718808,F,65,2022,
8/31/22,SR,982000403281498,F,N/A,2020,"died naturally; ""Alfonso"""
8/31/22,SR,982000407527081,F,N/A,2021,died naturally
9/8/22,FL,985113005718929,M,50,2022,
9/8/22,FL,982000407526889,F,73,2022,
9/8/22,FL,985113005719199,F,70,2022,
