ID,loci
122821,2605
1492,2868
7043,2760
7047,3252
7048,3230
7064,2780
7114,3326
7730,2720
7749,1486
8848,3124
8861,3158
8868,2544
8869,2812
8913,2718
8953,3288
8958,3241
8981,1421
9050,1681
9076,3307
9079,3268
9104,3273
9129,3193
9199,3270
9211,2969
9233,2898
9303,1881
982000199866995,2711
982000199867105,3252
982000403281481,3160
982000403281496,3287
982000403281498,2657
982000403281504,3320
982000403281506,3334
982000403281537,3277
982000403281539,3267
982000403281547,3270
982000403281552,3225
982000403281555,3264
982000403281567,3252
982000407070202,3271
982000407070254,3196
982000407526831,3313
982000407526848,3322
982000407526851,2757
982000407526861,3221
982000407526865,2698
982000407526875,3128
982000407526882,3075
982000407526889,3243
982000407526890,3304
982000407526894,2876
982000407526897,3326
982000407526921,2760
982000407526923,3134
982000407526925,3200
982000407526955,3243
982000407526988,3261
982000407527017,1832
982000407527032,3310
982000407527038,3182
982000407527049,2527
982000407527072,2330
982000407527081,2735
982000407527091,2617
982000407527099,3015
982000407527110,3194
982000407527124,3271
982000407527129,3206
982000407527130,2735
982000407527149,3120
982000407527168,2797
982000407527169,2524
982000407527183,3007
982000407527205,2682
985113004547515,3256
985113004547620,2487
985113004547659,3044
985113004547684,1821
985113004547710,2680
985113004547857,3200
985113004547872,3222
985113004547882,3194
985113005718808,1901
985113005718812,3355
985113005718834,2756
985113005718838,2466
985113005718846,3004
985113005718847,2771
985113005718853,3318
985113005718862,3177
985113005718882,3074
985113005718892,2774
985113005718894,1211
985113005718895,2370
985113005718896,3323
985113005718916,2716
985113005718924,3225
985113005718929,2312
985113005718937,3086
985113005718938,2358
985113005718942,3220
985113005718959,3235
985113005718961,2300
985113005718965,2136
985113005718966,2849
985113005718977,2581
985113005718982,2596
985113005718984,3364
985113005718985,3172
985113005718990,3058
985113005718991,3041
985113005718993,3333
985113005718997,3223
985113005718998,2155
985113005718999,3208
985113005719001,1435
985113005719043,3251
985113005719062,2553
985113005719072,3262
985113005719084,3272
985113005719085,2377
985113005719114,3252
985113005719116,3145
985113005719136,2589
985113005719137,2594
985113005719152,2903
985113005719176,1259
985113005719193,2642
985113005719201,3101
985113005719223,3286
985113005719233,2472
985113005719237,3104
985113005719242,2729
985113005719244,3096
985113005719276,3297
untagged_female_1,2872
untagged_female_2,3197
