"","ID","Sex","BirthYear"
"1","122821","2",2019
"18","9050","1",2022
"29","982000403281481","2",2020
"33","982000403281506","1",2021
"37","982000403281552","2",2021
"38","982000403281555","2",2020
"39","982000403281567","2",2021
"43","982000407526848","2",2019
"44","982000407526851","2",2019
"45","982000407526861","1",2019
"46","982000407526865","2",2019
"47","982000407526875","2",2019
"51","982000407526894","1",2019
"52","982000407526897","1",2021
"55","982000407526925","2",2021
"62","982000407527072","2",2021
"64","982000407527091","2",2021
"65","982000407527099","1",2021
"66","982000407527110","2",2021
"72","982000407527169","2",2021
"77","985113004547659","2",2021
"78","985113004547684","2",2020
"81","985113004547872","2",2021
"82","985113004547882","1",2021
"84","985113005718812","1",2022
"86","985113005718838","1",2022
"128","985113005719193","1",2022
"17","985113005718846","2",2022
"2","985113005719176","1",2022
"3","985113005718966","1",2022
"4","985113005718965","2",2022
"6","985113005718998","1",2022
"7","985113005718937","1",2022
"8","982000407070202","2",2020
"10","985113005719062","2",2022
"11","985113005719276","2",2022
"12","982000403281537","1",2020
"13","untagged_female_1","1",2022
"14","985113005718938","1",2022
"15","982000407527129","2",2019
"16","982000407527130","1",2021
"19","985113005718896","1",2022
"20","untagged_female_2","1",2022
"21","982000407527038","2",2020
"22","982000407527183","1",2021
"23","982000407526882","1",2019
"24","985113004547857","1",2021
"25","985113005718862","1",2022
"26","982000407526923","1",2019
"28","982000407526831","2",2019
"291","985113005719242","1",2022
"30","985113005718997","1",2022
"31","985113005718999","2",2022
"331","985113005718990","2",2022
"34","985113004547515","1",2022
"35","985113005719072","2",2022
"36","985113005718895","1",2022
"371","985113005718977","1",2022
"381","985113005718982","1",2022
"391","985113005719085","2",2022
"40","982000407526988","1",2021
"41","982000407526955","1",2021
"431","985113005718993","1",2022
"441","985113005718959","1",2022
"451","985113005718916","2",2022
"471","985113005718985","2",2022
"48","985113005719043","1",2022
"49","985113005718862","1",2022
"50","985113005718984","1",2022
"511","985113005718853","2",2022
"521","982000199866995","2",2022
"53","982000199867105","1",2022
"54","985113005718991","1",2022
"57","985113005719084","2",2022
"59","985113005719233","2",2022
"60","985113005719244","2",2022
"61","985113005719136","2",2022
"621","982000407527049","1",2021
"67","985113005718834","1",2022
"68","982000407070254","2",2021
"69","985113005719114","2",2022
"70","985113005719152","2",2022
"71","985113005719137","1",2022
"721","982000407526890","1",2022
"74","985113005719237","2",2022
"771","985113005718894","2",2022
"781","985113005718847","2",2022
"79","982000407526921","1",2019
"80","985113005718882","2",2022
"83","985113005719201","1",2022
"85","982000403281547","2",2020
"861","985113005718942","2",2022
"87","985113005718924","1",2022
"88","985113005718892","2",2022
"90","982000407527124","1",2020
"92","982000407527205","1",2019
"94","982000403281496","1",2022
"96","982000403281504","2",2021
"97","982000407527017","1",2022
"98","985113005719116","2",2022
"99","985113005719001","2",2022
"103","985113004547620","2",2022
"104","982000407527168","2",2022
"106","985113004547710","2",2021
"109","985113005718961","2",2022
"111","985113005719223","2",2022
"112","982000407527032","2",2022
"113","982000403281539","2",2021
"114","982000407527149","2",2021
"115","985113005718808","1",2022
"116","982000403281498","1",2020
"117","982000407527081","1",2021
"118","985113005718929","2",2022
"119","982000407526889","1",2022
"9","8861","1",2022
"27","7047","2",2020
"32","1492","1",2021
"56","7064","1",2022
"58","7114","2",2020
"591","9233","2",2022
"63","9129","1",2022
"641","9211","2",2022
"661","7749","1",2020
"73","8913","2",2022
"75","7048","1",2020
"76","9076","2",2022
"811","8868","1",2022
"821","8958","2",2022
"841","7730","2",2021
"89","7043","2",2021
"91","8848","2",2022
"93","9104","2",2022
"95","8953","1",2022
"102","9303","1",2022
"107","9079","2",2022
"108","8981","1",2022
"110","8869","1",2022
"120","9199","1",2022
