"","id","dam","sire","LLRdam","LLRsire","LLRpair","OHdam","OHsire","MEpair","Sex","BirthYear","loci","weight_g","encolsure"
"1","122821",NA,NA,NA,NA,NA,NA,NA,NA,2,2019,2605,NA,NA
"2","1492","982000407526923","7047",-0.06,0.03,5.04,1,2,6,1,2021,2868,NA,NA
"3","7043","982000403281537","982000407070202",2.24,0.79,7.13,2,1,3,2,2021,2760,NA,NA
"4","7047",NA,NA,NA,NA,NA,NA,NA,NA,2,2020,3252,NA,NA
"5","7048",NA,NA,NA,NA,NA,NA,NA,NA,1,2020,3230,NA,NA
"6","7064",NA,NA,NA,NA,NA,NA,NA,NA,1,2022,2780,NA,NA
"7","7114",NA,NA,NA,NA,NA,NA,NA,NA,2,2020,3326,NA,NA
"8","7730",NA,NA,NA,NA,NA,NA,NA,NA,2,2021,2720,NA,NA
"9","7749",NA,NA,NA,NA,NA,NA,NA,NA,1,2020,1486,NA,NA
"10","8848","982000403281537","982000407527038",4.74,2.23,21.15,2,2,7,2,2022,3124,NA,NA
"11","8861","982000407526923","982000403281567",-4.46,3.82,0.43,5,0,6,1,2022,3158,NA,NA
"12","8868","7048","982000407070254",0.23,9.51,9.62,1,0,2,1,2022,2544,NA,NA
"13","8869","982000403281498","M0004",0.56,0.26,6.39,1,NA,NA,1,2022,2812,NA,NA
"14","8913",NA,NA,NA,NA,NA,NA,NA,NA,2,2022,2718,NA,NA
"15","8953","982000403281498","M0004",0.47,2.12,7.74,1,NA,NA,1,2022,3288,NA,NA
"16","8958",NA,NA,NA,NA,NA,NA,NA,NA,2,2022,3241,NA,NA
"17","8981","982000407527130","7043",0.91,8.96,5.3,0,0,4,1,2022,1421,NA,NA
"18","9050",NA,NA,NA,NA,NA,NA,NA,NA,1,2022,1681,NA,NA
"19","9076","7048","M0002",2.13,1.76,10.62,0,NA,NA,2,2022,3307,NA,NA
"20","9079","F0002","7043",-0.62,4.34,3.14,NA,4,NA,2,2022,3268,NA,NA
"21","9104","F0009","982000407527129",0.5,-0.78,1.81,NA,3,NA,2,2022,3273,NA,NA
"22","9129","982000407526921","7114",-0.33,2.64,3.81,1,1,5,1,2022,3193,NA,NA
"23","9199","982000403281537","982000407070202",1.65,-4.48,2.21,0,4,5,1,2022,3270,NA,NA
"24","9211","7749","7114",-0.51,0.81,0.54,1,1,4,2,2022,2969,NA,NA
"25","9233","7749","7114",-0.48,3.17,2.75,1,0,1,2,2022,2898,NA,NA
"26","9303",NA,NA,NA,NA,NA,NA,NA,NA,1,2022,1881,NA,NA
"27","95113005718984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,"SL"
"28","982000199866995","1492","982000403281567",7.25,-1.7,5.77,1,2,3,2,2022,2711,83,"SL"
"29","982000199867064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"FL"
"30","982000199867105","982000407526988",NA,-5.8,NA,NA,1,NA,NA,1,2022,3252,60,"SL"
