"","id","dam","sire","LLRdam","LLRsire","LLRpair","OHdam","OHsire","MEpair"
"1","122821",NA,NA,NA,NA,NA,NA,NA,NA
"2","1492","982000407526923","7047",-0.06,0.03,5.04,1,2,6
"3","7043","982000403281537","982000407070202",2.24,0.79,7.13,2,1,3
"4","7047",NA,NA,NA,NA,NA,NA,NA,NA
"5","7048",NA,NA,NA,NA,NA,NA,NA,NA
"6","7064",NA,NA,NA,NA,NA,NA,NA,NA
"7","7114",NA,NA,NA,NA,NA,NA,NA,NA
"8","7730",NA,NA,NA,NA,NA,NA,NA,NA
"9","7749",NA,NA,NA,NA,NA,NA,NA,NA
"10","8848","982000403281537","982000407527038",4.74,2.23,21.15,2,2,7
"11","8861","982000407526923","982000403281567",-4.46,3.82,0.43,5,0,6
"12","8868","7048","982000407070254",0.23,9.51,9.62,1,0,2
"13","8869","982000403281498","M0004",0.56,0.26,6.39,1,NA,NA
"14","8913",NA,NA,NA,NA,NA,NA,NA,NA
"15","8953","982000403281498","M0004",0.47,2.12,7.74,1,NA,NA
"16","8958",NA,NA,NA,NA,NA,NA,NA,NA
"17","8981","982000407527130","7043",0.91,8.96,5.3,0,0,4
"18","9050",NA,NA,NA,NA,NA,NA,NA,NA
"19","9076","7048","M0002",2.13,1.76,10.62,0,NA,NA
"20","9079","F0002","7043",-0.62,4.34,3.14,NA,4,NA
"21","9104","F0009","982000407527129",0.5,-0.78,1.81,NA,3,NA
"22","9129","982000407526921","7114",-0.33,2.64,3.81,1,1,5
"23","9199","982000403281537","982000407070202",1.65,-4.48,2.21,0,4,5
"24","9211","7749","7114",-0.51,0.81,0.54,1,1,4
"25","9233","7749","7114",-0.48,3.17,2.75,1,0,1
"26","9303",NA,NA,NA,NA,NA,NA,NA,NA
"27","982000199866995","1492","982000403281567",7.25,-1.7,5.77,1,2,3
"28","982000199867105","982000407526988",NA,-5.8,NA,NA,1,NA,NA
"29","982000403281481","F0005","982000407526831",-0.07,-0.57,6.19,NA,2,NA
"30","982000403281496","982000407527124",NA,-4.54,NA,NA,5,NA,NA
"31","982000403281498",NA,NA,NA,NA,NA,NA,NA,NA
"32","982000403281504","982000407527205","7047",-1.82,3.59,2.78,3,1,6
"33","982000403281506",NA,"7114",NA,3.89,NA,NA,0,NA
"34","982000403281537","F0003","982000407527129",0.23,-0.16,6.02,NA,3,NA
"35","982000403281539","982000407527205","7047",0.21,3.59,7.39,2,1,4
"36","982000403281547","982000407527205","M0003",0.26,0.07,-5.04,2,NA,NA
"37","982000403281552","982000403281537","982000407070202",2.89,-2.84,6.69,2,2,6
"38","982000403281555","982000407527205","M0001",-3.62,2.16,1.7,5,NA,NA
